Rank,Metropolitan area,"2017 GDP per capita 
(chained 2009 US-Dollars)"
1,"Midland, TX Metropolitan Statistical Area","174,749"
2,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area","128,308"
3,"San Francisco–Oakland–Hayward, CA Metropolitan Statistical Area","89,978"
4,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area","87,082"
5,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","80,833"
6,"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","78,465"
7,"Des Moines-West Des Moines, IA Metropolitan Statistical Area","75,910"
8,"Elkhart-Goshen, IN Metropolitan Statistical Area","74,133"
9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","74,000"
10,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","71,084"
11,"Boulder, CO Metropolitan Statistical Area","70,077"
12,"Napa, CA Metropolitan Statistical Area","69,159"
13,"Trenton-Princeton, NJ Metropolitan Statistical Area","68,741"
14,"Casper, WY Metropolitan Statistical Area","68,212"
15,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area","67,763"
16,"Madison, WI Metropolitan Statistical Area","66,639"
17,"Durham-Chapel Hill, NC Metropolitan Statistical Area","65,696"
18,"Hartford-East Hartford-Middletown, CT Metropolitan Statistical Area","65,477"
19,"Lake Charles, LA Metropolitan Statistical Area","65,030"
20,"Midland, MI Metropolitan Statistical Area","64,831"
21,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","64,824"
22,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area","64,379"
23,"Tyler, TX Metropolitan Statistical Area","64,085"
24,"Austin-Round Rock, TX Metropolitan Area","63,839"
25,"Columbus, IN Metropolitan Statistical Area","63,822"
26,"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","63,817"
27,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","63,519"
28,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area","63,311"
29,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","62,809"
30,"Sioux Falls, SD metropolitan statistical area","61,815"
31,"Salt Lake City, UT metropolitan statistical area","61,809"
32,"Anchorage, AK metropolitan area","61,568"
33,"Manchester-Nashua, NH Metropolitan Statistical Area","61,273"
34,"Chicago-Naperville-Elgin, IL-IN-WI metropolitan area","61,170"
35,"Cedar Rapids, IA Metropolitan Statistical Area","60,852"
36,"Nashville-Davidson-Murfreesboro-Franklin, TN Metropolitan Statistical Area","60,806"
37,"San Diego-Carlsbad, CA Metropolitan Statistical Area","60,517"
38,"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area","60,439"
39,"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","60,246"
40,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","59,079"
41,"Urban Honolulu, HI Metropolitan Statistical Area","58,525"
42,"Cleveland-Elyria, OH Metropolitan Statistical Area","58,470"
43,"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area","58,343"
44,"Fargo, ND-MN Metropolitan Statistical Area","58,068"
45,"Charlotte-Concord-Gastonia, NC-SC","58,064"
46,"Bloomington, IL Metropolitan Statistical Area","58,034"
47,"Odessa, TX Metropolitan Statistical Area","57,678"
48,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","56,840"
49,"Harrisburg-Carlisle, PA Metropolitan Statistical Area","56,812"
50,"Burlington-South Burlington, VT Metropolitan Statistical Area","56,630"
51,"Columbus, OH Metropolitan Statistical Area","56,405"
52,"Pittsburgh, PA Metropolitan Statistical Area","56,237"
53,"Ann Arbor, MI Metropolitan Statistical Area","55,887"
54,"Tulsa, OK Metropolitan Statistical Area","55,436"
55,"Carson City, NV Metropolitan Statistical Area","55,158"
56,"Cincinnati, OH-KY-IN Metropolitan Statistical Area","54,712"
57,"Dubuque, IA Metropolitan Statistical Area","54,658"
58,"Richmond, VA Metropolitan Statistical Area","54,611"
,United States (Metropolitan Portion),"54,410"
59,"Raleigh, NC Metropolitan Statistical Area","54,398"
60,"Oshkosh-Neenah, WI Metropolitan Statistical Area","54,250"
61,"Baton Rouge, LA Metropolitan statistical Area","53,965"
62,"Kansas City, MO-KS Metropolitan Statistical Area","53,745"
63,"Green Bay, WI Metropolitan Statistical Area","53,401"
64,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","52,879"
65,"New Orleans-Metairie, LA Metropolitan Statistical Area","52,536"
66,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","52,499"
67,"Wausau, WI Metropolitan Statistical Area","52,448"
68,"Bismarck, ND Metropolitan Statistical Area","52,378"
69,"Lincoln, NE Metropolitan Statistical Area","52,185"
70,"Iowa City, IA Metropolitan Statistical Area","52,094"
71,"Charleston, WV Metropolitan Statistical Area","51,974"
72,"Harrisonburg, VA metropolitan statistical area","51,880"
73,"Rochester, MN Metropolitan Statistical Area","51,309"
74,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area","51,185"
75,"Sheboygan, WI Metropolitan Statistical Area","50,957"
76,"Lexington-Fayette, KY Metropolitan Statistical Area","50,871"
77,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area","50,806"
78,"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","50,775"
79,"Norwich-New London, CT Metropolitan Statistical Area","50,710"
