,Food Bank,ID,Total Population,2021 Food Insecurity %,2021 Food Insecurity #,address,city,zip_code,state,statecode,latitude,longitude,lbs_distr,program_budget,metro gdp per capita,estimated_budget,estimated_pounds_per_year
0,Roadrunner Food Bank,1,2092454,0.155,323340,5840 Office Blvd NE,Albuquerque,87109,New Mexico,NM,35.1506,-106.569,58958429.0,140942492.0,42299.0,140942492.0,58958429.0
1,High Plains Food Bank,2,475188,0.161,76360,815 S. Ross|PO Box 31803,Amarillo,79120,Texas,TX,35.1964,-101.8034,,,46195.0,25340554.45153406,16378120.545134202
2,"Food Bank of Alaska, Inc.",3,737068,0.129,95420,2192 Viking Drive,Anchorage,99501,Alaska,AK,61.2116,-149.8761,11073479.0,24880966.0,61568.0,24880966.0,11073479.0
3,Atlanta Community Food Bank,4,6105046,0.11699999999999999,715840,3400 N Desert Dr,Atlanta,30344,Georgia,GA,33.6919,-84.448,,213237927.0,56840.0,213237927.0,100306791.4311205
4,Golden Harvest Food Bank,5,831422,0.139,115340,3310 Commerce Drive,Augusta,30909,Georgia,GA,33.4717,-82.0834,,,34843.0,35146140.1967466,21494057.855348352
5,Central Texas Food Bank,6,3054012,0.154,469120,6500 Metropolis Drive,Austin,78744,Texas,TX,30.1876,-97.7472,64585496.0,144259096.0,63839.0,144259096.0,64585496.0
6,Maryland Food Bank,7,4066648,0.128,521800,2200 Halethorpe Farms Road,Baltimore,21227,Maryland,MD,39.2309,-76.6969,,,59079.0,137392891.91555348,74839975.73912577
7,Community Food Bank of Central Alabama,8,1458585,0.157,229190,107 Walter Davis Drive,Birmingham,35209,Alabama,AL,33.4653,-86.8082,19400000.0,28000000.0,48640.0,28000000.0,19400000.0
8,The Greater Boston Food Bank,9,5199876,0.098,507380,70 South Bay Ave,Boston,2118,Massachusetts,MA,42.3362,-71.0729,117000000.0,158561000.0,78465.0,158561000.0,117000000.0
9,Food Bank For New York City,10,4209658,0.171,1437320,355 Food Center Dr.,New York,10474,New York,NY,40.8139,-73.8841,,,71084.0,367695864.24641526,194997567.48482257
10,"FeedMore Western New York, Inc.",11,1335792,0.131,174630,91 Holt Street,Buffalo,14206,New York,NY,42.8811,-78.8104,,,44843.0,50060793.32228924,29275584.872346736
11,Food Bank of South Jersey,12,1306595,0.115,150710,1501 John Tipton Boulevard,Pennsauken,8110,New Jersey,NJ,39.9723,-75.0607,22500000.0,33463000.0,,33463000.0,22500000.0
12,Second Harvest Food Bank of Metrolina,14,3900212,0.131,511640,500 B Spratt St.,Charlotte,28206,North Carolina,NC,35.2522,-80.8265,,,49233.0,134837100.45399988,73506524.6598088
13,Chattanooga Area Food Bank,15,1092372,0.14800000000000002,161770,2009 Curtain Pole Road,Chattanooga,37406,Tennessee,TN,35.0614,-85.2478,18700000.0,34337000.0,42090.0,34337000.0,18700000.0
14,Greater Chicago Food Depository,16,5198275,0.11800000000000001,613360,4100 West Ann Lurie Place,Chicago,60632,Illinois,IL,41.8093,-87.7052,,,61170.0,160425201.58286136,86856784.87517524
15,Freestore Foodbank,17,1818085,0.139,252740,1141 Central Parkway,Cincinnati,45202,Ohio,OH,39.1072,-84.50200000000001,,,54712.0,69709697.95437112,39527146.270520866
16,"Greater Cleveland Food Bank, Inc.",18,1843714,0.14800000000000002,273100,15500 South Waterloo Road,Cleveland,44110,Ohio,OH,41.5636,-81.5733,56000000.0,,30673.0,74831343.04858682,56000000.0
17,Care and Share Food Bank,19,1211137,0.134,162630,2605 Preamble Point,Colorado Springs,80915,Colorado,CO,38.8558,-104.7134,25000000.0,56067000.0,39905.0,56067000.0,25000000.0
18,Harvest Hope Food Bank,20,2054603,0.115,235860,2220 Shop Road|P.O. Box 451,Columbia,29201,South Carolina,SC,34.0004,-81.0334,,,42933.0,65463461.746593095,37311727.548191085
19,Mid-Ohio FoodBank,21,2585488,0.138,355570,3960 Brookham Dr.,Grove City,43123,Ohio,OH,39.8814,-83.0839,82889875.0,114982997.0,,114982997.0,82889875.0
20,Food Bank of Contra Costa and Solano,22,4274041,0.124,531740,4010 Nelson Ave,Concord,94520,California,CA,37.9823,-122.0362,42000000.0,108952259.0,58064.0,108952259.0,42000000.0
21,Coastal Bend Food Bank,23,589457,0.19,111730,826 Krill St.,Corpus Christi,78408,Texas,TX,27.7945,-97.4381,,,41272.0,34238029.254206404,21020262.737598915
22,North Texas Food Bank,24,5209472,0.154,801860,3677 Mapleshade Lane,Plano,75075,Texas,TX,33.025,-96.7397,,,,207843182.9315675,111596502.24242428
23,Food Bank of the Rockies,25,3945294,0.11599999999999999,457580,10700 E. 45th Ave,Denver,80239,Colorado,CO,39.7878,-104.8288,,,64379.0,121238076.20089084,66411409.96021473
24,Food Bank of Iowa,26,1510703,0.094,142130,2220 E. 17th Street|P.O. Box 1517,Des Moines,50316,Iowa,IA,41.6092,-93.6,,,75910.0,41885279.29665025,25010116.360752076
25,Gleaners Community Food Bank of Southeastern Michigan,27,4220290,0.154,650630,2131 Beaufait Street,Detroit,48207,Michigan,MI,42.3524,-83.0271,71415000.0,111000000.0,52879.0,111000000.0,71415000.0
26,Food Bank of the Southern Tier,28,543753,0.134,72650,388 Upper Oakwood Avenue,Elmira,14903,New York,NY,42.1198,-76.8877,,,34050.0,24407288.081222653,15891200.908887548
27,Second Harvest Food Bank of Northwest Pennsylvania,29,697208,0.14,97960,1507 Grimm Drive,Erie,16501,Pennsylvania,PA,42.126000000000005,-80.086,,,35253.0,30774126.850112587,19213016.5405325
28,Food Bank of Eastern Michigan,30,1403218,0.153,214970,2300 Lapeer Road,Flint,48503,Michigan,MI,43.0128,-83.6914,,,29347.0,60208492.88519007,34570015.634123005
29,Tarrant Area Food Bank,31,3490822,0.152,531760,2600 Cullen,Ft. Worth,76107,Texas,TX,32.7392,-97.3852,,,,139898372.5215647,76147177.78144833
30,Mountaineer Food Bank,33,1520939,0.138,209710,484 Enterprise Drive,Gassaway,26624,West Virginia,WV,38.6862,-80.7863,,,,58885317.38442511,33879665.961169526
31,Feeding America West Michigan Food Bank,34,2421110,0.128,310150,864 West River Center Drive NE,Comstock Park,49321,Michigan,MI,43.0578,-85.6845,,,,84151429.03781527,47061932.33977162
32,The Food Bank of Western Massachusetts,35,825905,0.121,99890,97 North Hatfield Road|PO Box 160,Hatfield,1038,Massachusetts,MA,42.3844,-72.6167,,,,31259626.60609669,19466319.747528736
33,"Hawaii Foodbank, Inc.",36,1422094,0.152,215520,2611 Kilihau St,Honolulu,96819,Hawaii,HI,21.3488,-157.8759,,,58525.0,60346847.737931654,34642200.48585768
34,Houston Food Bank,37,7334632,0.16399999999999998,1199600,535 Portwall Street,Houston,77029,Texas,TX,29.763,-95.2567,,,63311.0,307896381.348726,163797962.1132446
35,"Gleaners Food Bank of Indiana, Inc.",38,2286146,0.131,298780,3737 Waldemere Ave.,Indianapolis,46241,Indiana,IN,39.7096,-86.2614,,,60439.0,81291256.90023018,45569674.58663835
36,Harvesters - The Community Food Network,40,2599735,0.124,323660,3801 Topping Avenue,Kansas City,64129,Missouri,MO,39.0401,-94.4951,,,53745.0,87549927.32970397,48835054.78874528
37,Second Harvest Food Bank of East Tennessee,41,1304063,0.149,194480,136 Harvest Lane,Maryville,37801,Tennessee,TN,35.6884,-84.0769,,,,55054145.73487183,31880801.794043787
38,Regional Food Bank of Northeastern New York,42,2846201,0.111,317050,965 Albany Shaker Rd.,Latham,12110,New York,NY,42.7462,-73.763,,,,85887153.55402786,47967524.116079405
39,Arkansas Foodbank,43,1442506,0.177,254610,4301 W 65th St,Little Rock,72209,Arkansas,AR,34.6725,-92.3529,,,46376.0,70180104.45369253,39772574.76641877
40,Los Angeles Regional Food Bank,45,10081570,0.14400000000000002,1453170,1734 E. 41st Street,Los Angeles,90058,California,CA,33.9994,-118.2133,,,67763.0,371682999.54814994,197077803.66663104
41,Dare to Care Food Bank,46,1286886,0.125,160660,5803 Fern Valley Road|PO Box 35458,Louisville,40228,Kentucky,KY,38.1442,-85.6265,,,50775.0,46546580.062653035,27442089.638285894
42,South Plains Food Bank,47,473123,0.174,82300,5605 MLK Boulevard,Lubbock,79404,Texas,TX,33.525999999999996,-101.8333,,,37977.0,26834786.861143153,17157716.943868734
43,Greater Pittsburgh Community Food Bank,48,2394856,0.125,298490,1 North Linden Street,Duquesne,15110,Pennsylvania,PA,40.3704,-79.8522,,,,81218306.1596937,45531613.48299643
44,Mid-South Food Bank,49,2056318,0.156,320400,3865 S Perkins Rd,Memphis,38118,Tennessee,TN,35.0514,-89.9265,,,46029.0,86729860.38436295,48407195.48573609
45,Feeding South Florida,50,6166458,0.129,795410,2501 SW 32 Terrace,Pembroke Park,33023,Florida,FL,25.9894,-80.2153,,,,206220657.8403253,110749970.79935394
46,Feeding America Eastern Wisconsin,51,3856532,0.10400000000000001,402610,1700 W. Fond Du Lac Avenue,Milwaukee,53205,Wisconsin,WI,43.0528,-87.9353,,,58343.0,107410137.55506392,59196862.142296
47,Feeding the Gulf Coast,52,2292020,0.16399999999999998,376740,5248 Mobile South Street,Theodore,36582,Alabama,AL,30.5444,-88.1807,,,,100902428.39065528,55801549.20706665
48,River Bend Foodbank,53,1037538,0.11199999999999999,115750,4010 Kimmel Drive,Davenport,52802,Iowa,IA,41.5164,-90.6141,,,45622.0,35249277.450608514,21547868.381186932
49,"Montgomery Area Food Bank, Inc.",54,1481529,0.172,254180,521 Trade Center Street,Montgomery,36108,Alabama,AL,32.3417,-86.3529,,,40596.0,70071936.11427638,39716139.33688074
50,Second Harvest Food Bank of Middle Tennessee,55,2917667,0.131,381980,331 Great Circle Road,Nashville,37228,Tennessee,TN,36.1901,-86.8053,,,60806.0,102220572.80586599,56489273.976320684
51,Connecticut Food Bank,56,2530450,0.134,339410,2 Research Parkway,Wallingford,6492,Connecticut,CT,41.46,-72.8222,,,,91511907.20366748,50902166.452056535
52,Second Harvest Food Bank of Greater New Orleans and Acadiana,57,2569799,0.174,446960,700 Edwards Avenue,New Orleans,70123,Louisiana,LA,29.9511,-90.206,,,52536.0,118566569.77158973,65017586.09581056
53,Community Foodbank of New Jersey,58,6353834,0.122,775400,31 Evans Terminal,Hillside,7205,New Jersey,NJ,40.6968,-74.2281,,,,201187056.74330878,108123754.64806135
54,Food Bank of Delaware,59,957248,0.11900000000000001,114300,222 Lake Drive,Newark,19702,Delaware,DE,39.6349,-75.6993,,,71084.0,34884523.74792616,21357562.862977326
55,Foodbank of Southeastern Virginia,60,1238563,0.106,131220,800 Tidewater Drive|PO Box 1940,Norfolk,23504,Virginia,VA,36.8586,-76.2686,,,47426.0,39140822.126812674,23578231.392705992
56,Regional Food Bank of Oklahoma,62,2389997,0.154,368760,3355 S. Purdue|PO Box 270968,Oklahoma City,73179,Oklahoma,OK,35.4242,-97.6547,,,48935.0,98895025.25451377,54754212.63098895
57,Food Bank for the Heartland,63,1841518,0.11199999999999999,206940,10525 J Street,Omaha,68127,Nebraska,NE,41.2074,-96.0612,,,60246.0,58188512.035162956,33516116.79879669
58,Second Harvest Food Bank of Orange County,64,3168044,0.107,338120,8014 Marine Way,Irvine,92618,California,CA,33.7074,-117.7054,,,,91187402.18541904,50732860.16344247
59,Second Harvest Food Bank of Central Florida,65,4477158,0.142,635280,411 Mercy Drive,Orlando,32805,Florida,FL,28.5302,-81.4045,,,45807.0,165939271.3503077,89733679.32976462
60,Food Share of Ventura County,66,847263,0.096,81530,4156 Southbank Road,Oxnard,93036,California,CA,34.2351,-119.182,,,50806.0,26641090.06730494,17056658.15144018
61,Oregon Food Bank,68,4603055,0.125,573310,7900 NE 33rd Drive,Portland,97211,Oregon,OR,45.5653,-122.6448,,,63817.0,150350452.760497,81600415.21704088
62,Food Bank of Central and Eastern North Carolina,70,4040139,0.146,588240,1924 Capital Boulevard,Raleigh,27604,North Carolina,NC,35.8334,-78.5799,,,54398.0,154106158.1267367,83559905.82867499
63,Feed More,72,1548043,0.107,165570,1415 Rhoadmiller Street,Richmond,23220,Virginia,VA,37.5498,-77.4588,,,34843.0,47781711.56621881,28086503.496499117
64,Feeding America Riverside San Bernardino Counties,73,2280235,0.11699999999999999,534440,2950 - A Jefferson Street,Riverside,92504,California,CA,33.9315,-117.4119,,,29687.0,140572537.98583278,76498914.87717368
65,Feeding Southwest Virginia,74,1161499,0.14,162360,1025 Electric Road,Salem,24153,Virginia,VA,37.2853,-80.0692,,,34974.0,46974222.334763385,27665206.45273854
66,"Foodlink, Inc.",75,1252068,0.122,152730,1999 Mt. Read Boulevard,Rochester,14615,New York,NY,43.2058,-77.6521,,,44997.0,44551754.640397124,26401315.321456797
67,San Antonio Food Bank,76,2767351,0.163,449890,5200 Enrique M Barrera Pkwy,San Antonio,78227,Texas,TX,29.4027,-98.6433,,,47794.0,119303623.8052858,65402134.48777895
68,Feeding San Diego,77,3496774,0.11800000000000001,412510,"9477 Waples Street, Suite 100",San Diego,92121,California,CA,32.8919,-117.2035,,,60517.0,109900524.9044124,60496189.47352022
69,SF-Marin Food Bank,78,1134904,0.12,135700,900 Pennsylvania Avenue,San Francisco,94107,California,CA,37.7621,-122.3971,,,89978.0,40267785.290962294,24166209.821381193
70,Second Harvest of Silicon Valley,79,2694893,0.09,241940,750 Curtner Avenue,San Jose,95125,California,CA,37.296,-121.8939,,,128308.0,66992911.75508187,38109698.27282171
71,"America's Second Harvest of Coastal Georgia, Inc.",80,902494,0.149,134220,2501 East President Street,Savannah,31404,Georgia,GA,32.0543,-81.0492,,,40388.0,39895484.95994858,23971966.947622422
72,Food Lifeline,81,5317142,0.11199999999999999,594150,815 South 96th Street,Seattle,98108,Washington,WA,47.5413,-122.3129,,,80833.0,155592843.90801445,84335564.87186036
73,Second Harvest Inland Northwest,83,1848238,0.132,243200,1234 E. Front Avenue,Spokane,99202,Washington,WA,47.6547,-117.381,,,38989.0,67309870.14499895,38275067.20588662
74,Central Illinois Foodbank,84,780891,0.128,99570,1937 E. Cook St.,Springfield,62703,Illinois,IL,39.7622,-89.6275,,,29087.0,31179129.23722886,19424321.288337648
75,St. Louis Area Foodbank,85,3145218,0.12300000000000001,385940,70 Corporate Woods Drive,Bridgeton,63044,Missouri,MO,38.7506,-90.4161,,,32699.0,103216727.7456054,57009004.90881037
76,Second Harvest Heartland,86,4781649,0.085,407170,7101 Winnetka Avenue N.,Brooklyn Park,55428,Minnesota,MN,45.0632,-93.3811,,,,108557225.06143048,59795340.18576898
77,Central Pennsylvania Food Bank,87,3037482,0.111,337110,3908 Corey Road,Harrisburg,17109,Pennsylvania,PA,40.291,-76.8203,,,56812.0,90933332.36492994,50600302.526620604
78,Food Bank of Central New York,89,1365958,0.13,178160,7066 Interstate Island Road,Syracuse,13209,New York,NY,43.0847,-76.2405,,,44643.0,50948779.922612496,29738880.375298403
79,Feeding Tampa Bay,90,4569071,0.141,645870,"4702 Transport Dr., Bldg. 6",Tampa,33605,Florida,FL,27.9671,-82.4334,,,41222.0,168603231.15127745,91123565.83861962
80,Community Food Bank of Southern Arizona,91,1247072,0.155,193290,3003 South Country Club Road,Tucson,85713,Arizona,AZ,32.1941,-110.9739,,,33088.0,54754796.144394584,31724620.023926936
81,Community Food Bank of Eastern Oklahoma,92,1542873,0.168,259320,1304 N. Kenosha Ave.,Tulsa,74106,Oklahoma,OK,36.1883,-95.986,,,55436.0,71364925.1017159,40390739.587637566
82,"Blue Ridge Area Food Bank, Inc.",93,1599930,0.095,151430,96 Laurel Hill Road|P.O. Box 937,Verona,24482,Virginia,VA,38.2037,-79.0059,,,,44224734.079371564,26230696.580993008
83,Rhode Island Community Food Bank,94,1057231,0.121,127540,200 Niantic Ave.,Providence,2907,Rhode Island,RI,41.7971,-71.4255,,,44253.0,38215102.38483263,23095249.112008505
84,Capital Area Food Bank,95,4739064,0.095,448500,4900 Puerto Rico Ave NE,Washington,20017,District of Columbia,DC,38.9367,-76.994,,,74000.0,118953963.35926616,65219703.68066766
85,Second Harvest Food Bank Santa Cruz County,96,334338,0.111,37100,800 Ohlone Parkway,Watsonville,95076,California,CA,36.9102,-121.7569,,,41613.0,15464533.50856216,11225434.583127849
86,Second Harvest Food Bank of Northwest North Carolina,97,2142158,0.156,333980,3655 Reed Street,Winston-Salem,27107,North Carolina,NC,36.0403,-80.1933,,,37834.0,90145967.47569148,50189505.0976578
87,Food Bank of West Central Texas,98,298880,0.179,53350,5505 N. First,Abilene,79603,Texas,TX,32.4679,-99.7619,,,39648.0,19552290.521381654,13358168.83892518
88,Akron-Canton Regional Foodbank,100,1533896,0.133,204150,350 Opportunity Parkway,Akron,44307,Ohio,OH,41.0695,-81.5488,,,46036.0,57486675.600346565,33149942.732724413
